2022-12-17 15:58:07.687 +04 [4180] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-17 17:36:57.708 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 17:36:57.947 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.108 сек., синхр.=0.049 сек., всего=0.239 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.025 сек.; расстояние=1 kB, ожидалось=45 kB
2022-12-17 17:41:48.350 +04 [4068] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† contracts.contractId РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 51)
2022-12-17 17:41:48.350 +04 [4068] РћРџР•Р РђРўРћР :  SELECT "id" FROM "contracts" AS "contracts" WHERE "contracts"."contractId" = '5' AND "contracts"."groupId" = 1 LIMIT 1;
2022-12-17 17:42:10.049 +04 [14096] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† contracts.contractId РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 51)
2022-12-17 17:42:10.049 +04 [14096] РћРџР•Р РђРўРћР :  SELECT "id" FROM "contracts" AS "contracts" WHERE "contracts"."contractId" = '5' AND "contracts"."groupId" = 1 LIMIT 1;
2022-12-17 17:46:57.967 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 17:46:58.236 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.101 сек., синхр.=0.046 сек., всего=0.270 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.023 сек.; расстояние=1 kB, ожидалось=41 kB
2022-12-17 17:51:57.243 +04 [9364] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-17 17:51:57.637 +04 [9364] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.101 сек., всего=0.395 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.079 сек., средняя=0.051 сек.; расстояние=1 kB, ожидалось=37 kB
